Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-02-24,22.87543487548828,42.99012756347656,23.041198896325152,43.132725687530645,22.81907571544972,42.88148100367274,22.991469184202447,42.88148100367274,12485400,16088000
2012-02-27,22.819074630737305,42.99692153930664,22.875433788096814,43.28890968637911,22.71629922274031,42.813579963911934,22.77266090945793,42.90185611288093,12086200,25483800
2012-02-28,22.825702667236328,42.99692153930664,22.908584668591114,43.24816625062298,22.809127784580145,42.79999881865989,22.858854961906655,43.13951967894521,9049000,6407500
2012-02-29,23.16054916381836,43.08934783935547,23.20033343933688,43.21942539681837,22.842282547744855,43.0003504292362,22.842282547744855,43.06196542709241,23464400,7013800
2012-03-01,23.074356079101562,42.82233810424805,23.193706401717364,43.164642969368465,23.00473547913547,42.74703061606894,23.163870085742797,43.164642969368465,15294200,7660300
2012-03-02,22.935115814208984,42.80179977416992,23.074357019817878,42.911337224308895,22.865495211404536,42.719647339460394,23.011368395961778,42.815492281884644,11995800,6011800
2012-03-05,22.951690673828125,42.986663818359375,22.988156436543782,43.11673878209886,22.875438100575096,42.740203793101436,22.882067549425603,42.78812628561493,10338600,5646600
2012-03-06,22.795867919921875,42.63750076293945,22.90527024688052,43.00719070993796,22.756083645981743,42.59642584321473,22.81575879221288,42.68542324367119,13161200,7231200
2012-03-07,22.805810928344727,42.87026596069336,22.85554063313654,42.95242101897723,22.709667506909323,42.548501122942014,22.792549505109722,42.67173109878864,10933800,7509000
2012-03-08,22.964942932128906,43.096195220947266,23.04119548333654,43.212577654422695,22.908583780438573,42.945580202021794,22.935106626889738,43.06196524707683,33754800,4398300
2012-03-09,23.044513702392578,43.233123779296875,23.12076373162403,43.349506229062214,22.978206579845562,43.061971274409046,23.01799085337377,43.103046204170944,36742600,4096100
2012-03-12,23.256689071655273,43.77394485473633,23.319677669974176,43.84925495388064,22.988149679015038,43.13725760187412,23.03456592475853,43.342642608535876,18143600,8098100
2012-03-13,23.460403442382812,44.04779052734375,23.47376198496411,44.205253074179964,23.2132767743325,43.89033320366563,23.2132767743325,44.02725306974731,18068000,7450800
2012-03-14,23.45038414001465,43.856117248535156,23.583967012065166,44.246344760251425,23.410308514035084,43.780812338278714,23.463742682007837,43.95196223575248,12918000,6930200
2012-03-15,23.48712730407715,43.9314079284668,23.49046502977437,44.04779033644765,23.30345047544151,43.678103043418616,23.467088210482764,43.81502552048594,17991400,4734500
2012-03-16,23.43035316467285,44.13679504394531,23.530538431589434,44.15733250242716,23.33684334851595,43.93825757335696,23.50382134125889,43.97249015293224,22898800,8870500
2012-03-19,23.510499954223633,44.31479263305664,23.55391331152887,44.417479919851246,23.376917061439055,43.99986754302643,23.447047506877563,44.03410012072998,10652400,6555900
2012-03-20,23.573949813842773,44.69132995605469,23.634061988100143,44.88301987742181,23.353540206820263,44.04095269096501,23.38693529298952,44.08887517130679,10180400,7676400
2012-03-21,23.750947952270508,44.74610137939453,23.844455210101696,44.89671638602312,23.49380044535306,44.53387399177722,23.5372163492616,44.69133133640981,19870800,6555500
2012-03-22,23.851133346557617,44.76664352416992,23.904567521561106,44.88302596032179,23.69083591731055,44.52018352810754,23.714212731904155,44.59549103930212,14252800,5149000
2012-03-23,23.8745059967041,44.70503616333008,23.9112413486408,45.019956144117046,23.807715837481695,44.69134103803156,23.844451189418397,44.80772348726937,16206600,5356000
2012-03-26,24.011428833007812,45.03364181518555,24.011428833007812,45.04733693919736,23.90790077527106,44.80771927742549,23.957994667997717,44.8214144014373,11536400,5211800
2012-03-27,24.00141716003418,45.191097259521484,24.038152521603816,45.314327240353094,23.927946436894914,44.917252277322504,23.984718341909105,45.08155717737846,11430400,5274800
2012-03-28,24.26524543762207,45.13633346557617,24.318677075486082,45.20479341481152,24.01143815109194,44.910410932256156,24.031474696805667,45.150023366159516,26260600,5833300
2012-03-29,24.64927864074707,45.19795227050781,24.842973630839182,45.19795227050781,24.134986364233924,44.86249481541217,24.161703441739196,45.08156981796688,41063600,6320700
2012-03-30,24.71607780456543,45.42388153076172,24.759491155965474,45.52657409591098,24.482307137020058,45.21165405977119,24.585835202483878,45.375959030113506,26555800,5949300
2012-04-02,24.759490966796875,45.69087219238281,24.77952750607744,45.69771975520548,24.59251301177511,45.328029710181916,24.655965450005425,45.36226230113523,14579000,5203800
2012-04-03,24.632583618164062,45.567630767822266,24.739449385683784,45.74563079452246,24.532395846416442,45.41017342444645,24.602526267487427,45.58132589003852,12989200,5108400
2012-04-04,24.53240966796875,45.41702651977539,24.57916330835706,45.54025653311603,24.448920660435007,45.28010660413467,24.47563775433756,45.34172422238498,12487400,4556500
2012-04-05,24.535743713378906,45.286949157714844,24.55243998191799,45.3280240832318,24.40216082565793,44.97887154685946,24.472291268438067,45.211641645494154,11531400,5755800
2012-04-09,24.335369110107422,44.7392463684082,24.4155178184968,44.972016400753816,24.291953209323655,44.6707864376564,24.365423920297875,44.9309362637764,9806800,4526200
2012-04-10,24.0515079498291,44.39695358276367,24.251883571063477,44.7392585529055,24.028131133736007,44.355878657757636,24.23852502645573,44.62972367850297,17290600,5715700
2012-04-11,24.084903717041016,44.60234451293945,24.20178778843988,44.787186922906265,23.99139391204026,44.47226693578798,24.188429244868342,44.62288197814021,12026600,5376900
2012-04-12,24.11829948425293,44.759796142578125,24.131658028202335,44.84195121598294,23.984716592640627,44.25318624781347,24.09492266931191,44.5407211699913,10640600,5843100
2012-04-13,24.024795532226562,44.54071044921875,24.24520516803342,44.84194042270553,24.024795532226562,44.54071044921875,24.11830280486475,44.73924791145703,10525600,7412100
2012-04-16,24.1917667388916,45.17742156982422,24.308650796864324,45.4512666698121,24.091578947554197,44.58865643295656,24.118296031628354,44.58865643295656,14147600,7862600
2012-04-17,24.696044921875,45.45808792114258,24.873043740239872,45.62924035667161,24.43889992563964,45.19793287631744,24.43889992563964,45.341705518540714,22614400,6748100
2012-04-18,24.76950454711914,45.32802200317383,24.82961670146191,45.39648195028033,24.62256570707753,45.21848713243525,24.65262051030846,45.25271449440892,11779800,5408000
2012-04-19,24.652629852294922,45.286949157714844,24.826285837379555,45.4307166201836,24.51904695337035,45.18425662076305,24.809589567440156,45.321176521259176,10731200,6531200
2012-04-20,24.75615692138672,45.61554718017578,24.82962764773795,45.69085467286943,24.625914287539374,45.25270483710166,24.699385013890602,45.30062731216507,13461000,7302500
2012-04-23,24.60921287536621,45.30747985839844,24.736115209354498,45.4923222187967,24.488988538795617,45.20478733677335,24.7060603991526,45.3006322974478,10472200,4944500
2012-04-24,24.752809524536133,45.53340148925781,24.829617946342267,45.75931876471576,24.61588639749235,45.3690913685412,24.68601682309488,45.41017151029961,10288000,5512500
2012-04-25,25.023319244384766,45.6429328918457,25.063394875316234,45.77301042177778,24.81626563972802,45.526550482516015,24.893076628709586,45.62924299440144,18596000,7056700
2012-04-26,25.283802032470703,45.43756866455078,25.370631283824093,45.711408492557204,24.986581471791737,45.33487611746842,25.029994823527716,45.52656608633688,16782000,7989100
2012-04-27,25.59105110168457,45.252716064453125,25.988459615069303,45.65663864576618,25.353942612788227,45.24586850255715,25.367301160485795,45.62240605944565,25103000,6248000
2012-04-30,25.48752212524414,45.18426513671875,25.68121721907013,45.35541765617602,25.357279487505107,45.0268025206275,25.52091721607018,45.16372767008954,26517600,5367500
